FID,type,ident,Latitude,Longitude,y_proj,x_proj,Elevation,Richness
0,WAYPOINT,A01PC,45.091968,-114.851499,4995206.795,669141.53,1343.554098,10
2,WAYPOINT,A03PC,45.101626,-114.849794,4996283.248,669247.161,1219.377864,18
3,WAYPOINT,A05PC,45.09868,-114.849264,4995957.092,669297.5651,1278.143843,15
1,WAYPOINT,A06PC,45.097725,-114.850126,4995849.199,669232.5645,1279.681992,19
10,WAYPOINT,B01PC,45.092337,-114.850378,4995250.131,669228.6502,1392.211004,14
12,WAYPOINT,B02PC,45.08626,-114.85041,4994574.983,669244.0782,1599.121012,12
11,WAYPOINT,B04PC,45.088643,-114.850324,4994839.885,669243.8088,1493.62062,24
16,WAYPOINT,B06PC,45.096633,-114.848225,4995731.87,669385.365,1428.050005,19
14,WAYPOINT,B08PC,45.094662,-114.847992,4995513.404,669409.5257,1516.784475,18
19,WAYPOINT,C01PC,45.078406,-114.848588,4993706.314,669410.6737,1606.228979,12
17,WAYPOINT,C03PC,45.084241,-114.847896,4994355.959,669447.89,1608.828366,13
18,WAYPOINT,C04PC,45.083926,-114.847565,4994321.66,669474.8708,1635.178135,23
15,WAYPOINT,C05PC,45.092336,-114.846489,4995258.162,669534.6711,1646.013064,20
20,WAYPOINT,D01PC,45.088808,-114.844065,4994871.327,669735.8606,1801.281951,14
21,WAYPOINT,D02PC,45.08521,-114.844056,4994471.653,669747.2252,1840.775246,21
24,WAYPOINT,D03PC,45.072193,-114.842708,4993028.454,669891.8812,1769.000152,14
30,WAYPOINT,D04PC,45.078766,-114.844831,4993754.178,669705.3111,1743.578482,26
8,WAYPOINT,E01PC,45.071254,-114.838515,4992932.954,670224.7239,1932.094227,13
29,WAYPOINT,E02PC,45.088667,-114.843131,4994857.624,669809.7776,1855.198137,17
40,WAYPOINT,E03PC,45.080726,-114.837794,4993986.692,670253.3494,1975.357963,32
9,WAYPOINT,E05PC,45.07853,-114.844592,4993728.462,669724.8207,1763.191902,14
27,WAYPOINT,F01PC,45.058848,-114.837452,4991557.04,670345.2418,2036.677958,21
7,WAYPOINT,F03PC,45.070095,-114.832024,4992817.877,670739.1273,2131.895983,31
39,WAYPOINT,F04PC,45.081221,-114.836043,4994045.367,670389.6888,2078.65919,19
28,WAYPOINT,F06PC,45.083579,-114.837096,4994305.094,670299.8084,2103.249261,20
26,WAYPOINT,G01PC,45.05482,-114.831812,4991121.465,670801.2935,2258.220217,19
6,WAYPOINT,G02PC,45.065048,-114.830904,4992259.583,670842.3261,2252.345478,15
41,WAYPOINT,G03PC,45.082095,-114.833648,4994147.504,670575.5826,2192.700775,28
5,WAYPOINT,G04PC,45.07042,-114.829945,4992858.369,670901.8148,2182.564051,24
43,WAYPOINT,H01PC,45.065319,-114.827126,4992297.669,671138.9428,2402.817815,18
25,WAYPOINT,H02PC,45.061087,-114.825231,4991831.556,671300.7654,2461.97327,15
45,WAYPOINT,H03PC,45.062144,-114.825534,4991948.334,671273.7538,2467.825243,17
44,WAYPOINT,H04PC,45.064778,-114.825752,4992240.477,671248.7265,2449.158777,16
33,WAYPOINT,I01PC,45.05021,-114.825767,4990622.126,671291.0358,2546.383546,16
34,WAYPOINT,I02PC,45.051345,-114.827173,4990745.236,671176.9332,2504.284667,14
32,WAYPOINT,I03PC,45.054864,-114.820613,4991150.043,671682.9672,2583.822977,18
42,WAYPOINT,I04PC,45.073341,-114.825472,4993192.312,671245.1978,2482.066991,20
4,WAYPOINT,J01PC,45.067639,-114.818092,4992574.534,671843.195,2761.439881,15
38,WAYPOINT,J02PC,45.042283,-114.835027,4989721.988,670585.4071,2689.384091,10
23,WAYPOINT,J03PC,45.064628,-114.820861,4992234.174,671634.2241,2687.034467,8
22,WAYPOINT,J04PC,45.059625,-114.819937,4991680.364,671721.944,2656.082044,14
31,WAYPOINT,K01PC,45.057436,-114.816385,4991444.736,672008.167,2829.013951,11
35,WAYPOINT,K02PC,45.044594,-114.830394,4989988.481,670943.405,2767.997883,14
36,WAYPOINT,K03PC,45.043876,-114.831388,4989906.622,670867.2613,2757.123263,11
37,WAYPOINT,K04PC,45.044518,-114.829763,4989981.371,670993.325,2802.173897,10